0.971685,0.971798,0.990674,0.997753,1,0.940449,0.982472,0.968427,0.928876,0.940787,0.927753,0.953146,0.961461,0.918989,0.945955,0.932135,0.966742,0.952247,0.962809,0.97236,0.973258,0.964494,0.98809,0.97191,0.942135,0.93573,0.93,0.957416,0.930899,0.950674,0.943146,0.920225,0.933595,0.923595,0.928989,0.916742,0.910899,0.93,0.961573,0.922247,0.950562,0.963708,0.959326,0.949214,0.929101,0.891124,0.880112,0.88573,0.927303,0.872472,0.881573,0.91764,0.89764,0.872472,0.885393,0.905393,0.887753,0.83573,0.834494,0.871348,0.855506,0.841461,0.893034,0.858989,0.897079,0.824382,0.819101,0.841461,0.849438,0.854944,0.875281,0.879775,0.895618,0.894719,0.877191,0.880449,0.878989,0.892247,0.883371,0.860225,0.884607,0.892472,0.881798,0.908652,0.895506,0.830449,0.807865,0.784045,0.796517,0.801124,0.798652,0.756854,0.752022,0.731348,0.728989,0.734719,0.709888,0.743034,0.708202,0.735393,0.74236,0.723371,0.729888,0.751461,0.703708,0.747079,0.73764,0.747303,0.720562,0.762022,0.802697,0.779663,0.790337,0.800674,0.795281,0.814494,0.769888,0.764944,0.742697,0.747191,
0.978668,0.960872,0.960636,0.956865,0.975958,0.952033,0.972304,0.959576,0.937537,0.969593,0.953447,0.943665,0.954979,0.971008,0.957454,0.94449,0.963347,0.973483,0.97419,1,0.991279,0.976075,0.976783,0.969358,0.952504,0.937537,0.946612,0.948851,0.954037,0.917266,0.926458,0.912552,0.920566,0.916087,0.887331,0.930348,0.929876,0.950265,0.945551,0.937419,0.964054,0.950501,0.960047,0.947319,0.957101,0.895463,0.883206,0.914084,0.936594,0.875781,0.893341,0.901237,0.905127,0.886623,0.908191,0.885681,0.871184,0.851503,0.855745,0.871538,0.855981,0.846081,0.889452,0.879199,0.850442,0.848203,0.806364,0.832057,0.832528,0.896523,0.897702,0.899941,0.911373,0.902534,0.868238,0.869417,0.862581,0.864585,0.86647,0.865056,0.854095,0.864467,0.88132,0.89782,0.90218,0.842074,0.828049,0.78515,0.755687,0.789157,0.758161,0.758633,0.771243,0.708191,0.735298,0.685091,0.738244,0.723866,0.725633,0.727166,0.738126,0.70383,0.703123,0.72033,0.711491,0.723394,0.726105,0.73023,0.722923,0.742605,0.800236,0.794225,0.797879,0.807425,0.790454,0.785032,0.771597,0.745315,0.732705,0.704655,
0.96622,0.976479,0.96597,0.965845,0.926936,0.96597,0.999875,0.95959,0.97185,0.961967,0.972726,0.955711,0.956337,0.93682,0.936444,0.96572,0.943701,0.969348,0.970724,1,0.96034,0.978481,0.993619,0.987614,0.952959,0.910672,0.916427,0.947204,0.922933,0.950081,0.939322,0.910672,0.935819,0.919429,0.916802,0.916927,0.924434,0.944702,0.929063,0.94883,0.978857,0.986363,0.971475,0.968723,0.966846,0.889278,0.879144,0.918178,0.909045,0.861879,0.902415,0.889403,0.887902,0.901789,0.902039,0.900413,0.865132,0.862129,0.837233,0.843613,0.878268,0.837733,0.918679,0.855874,0.850995,0.817966,0.807707,0.827724,0.831728,0.873765,0.891905,0.91968,0.865507,0.887902,0.893157,0.868385,0.834855,0.866758,0.861879,0.833104,0.819217,0.877017,0.872138,0.899537,0.896785,0.865007,0.809333,0.795446,0.772551,0.761291,0.754285,0.730014,0.761792,0.695358,0.707619,0.704366,0.683473,0.704366,0.721131,0.700988,0.710372,0.702114,0.694358,0.695108,0.706368,0.711122,0.71425,0.710246,0.741399,0.755536,0.772676,0.770674,0.792569,0.784061,0.78331,0.774553,0.774052,0.742274,0.710997,0.711247,
0.818726,0.795276,0.818384,0.81051,0.850223,0.817871,0.840637,0.855187,0.846286,0.830195,0.87761,0.856727,0.903287,0.891989,0.920404,0.879664,0.960288,0.985621,0.938035,0.904485,0.950017,0.985621,0.956864,0.929647,0.996576,0.979973,0.958918,1,0.923656,0.93444,0.971072,0.945053,0.979117,0.948134,0.93735,0.958918,0.96936,0.953783,0.941116,0.921945,0.927251,0.913215,0.978946,0.954296,0.942143,0.906197,0.9329,0.932215,0.955495,0.953783,0.969189,0.956351,0.905854,0.910476,0.935981,0.92126,0.92126,0.925368,0.913043,0.974495,0.896611,0.916125,0.919377,0.91253,0.938206,0.912872,0.949846,0.891647,0.97227,0.952585,0.901917,0.939062,0.907737,0.867853,0.903287,0.903287,0.900034,0.882917,0.883944,0.88189,0.875385,0.8747,0.8747,0.883773,0.8848,0.896782,0.852961,0.859979,0.876926,0.869736,0.882061,0.873845,0.864601,0.901061,0.87898,0.850736,0.827114,0.864772,0.871277,0.894899,0.874358,0.869223,0.832763,0.844231,0.811024,0.826087,0.837727,0.825402,0.84543,0.812051,0.829339,0.842177,0.820096,0.854502,0.816159,0.826087,0.807087,0.810852,0.789798,0.825231,
0.829302,0.83136,0.81918,0.85006,0.866529,0.840453,0.826557,0.862927,0.875793,0.874421,0.889175,0.886773,0.887288,0.918168,0.923314,0.933436,0.933951,0.959513,0.946646,0.983531,0.980271,0.95368,0.981987,0.966032,0.985932,0.924515,1,0.957969,0.961571,0.979585,0.970664,0.998284,0.966718,0.977355,0.970149,0.957111,0.976668,0.966203,0.965517,0.977183,0.967404,0.96363,0.971693,0.992795,0.941671,0.958827,0.997427,0.978899,0.969291,0.95814,0.98782,0.956596,0.975811,0.984045,0.965346,0.939269,0.973066,0.961228,0.960027,0.926746,0.946989,0.951964,0.944759,0.94373,0.940642,0.951278,0.944244,0.904786,0.946475,0.962086,0.946818,0.93275,0.928461,0.922114,0.908732,0.894322,0.910276,0.908904,0.892434,0.893464,0.886773,0.885744,0.89192,0.903242,0.903071,0.874249,0.883513,0.909762,0.900841,0.885572,0.889346,0.896552,0.889861,0.890376,0.908218,0.928461,0.924687,0.858981,0.899125,0.883857,0.837193,0.860868,0.846629,0.868588,0.823812,0.884886,0.841482,0.86876,0.856408,0.888489,0.852805,0.882999,0.81918,0.8655,0.838394,0.803225,0.83908,0.829816,0.823812,0.779036,
0.732575,0.742498,0.760891,0.756292,0.768635,0.75484,0.851646,0.786786,0.828896,0.800823,0.826476,0.81486,0.829622,0.845837,0.954743,0.882139,0.939013,0.907551,0.945305,0.921588,0.920135,0.933204,0.944821,0.930542,0.984995,0.975557,0.95789,0.977493,0.957406,0.936834,0.961036,0.909729,0.938287,0.906583,0.923282,0.92909,0.913601,0.945789,0.939739,0.944337,0.900774,0.924008,1,0.939013,0.917957,0.909245,0.974831,0.869071,0.918199,0.916263,0.949903,0.92909,0.965392,0.944821,0.916263,0.886254,0.912149,0.934656,0.89545,0.906825,0.893756,0.936108,0.901258,0.934172,0.93151,0.923766,0.894724,0.8485,0.882865,0.877783,0.976767,0.878751,0.880203,0.882139,0.882865,0.847047,0.85576,0.8485,0.845595,0.849468,0.815102,0.826718,0.867619,0.844143,0.830833,0.82575,0.842207,0.826234,0.849226,0.825024,0.82454,0.881171,0.875847,0.853098,0.953291,0.845837,0.840755,0.856486,0.862536,0.819216,0.781946,0.7909,0.799855,0.764279,0.808083,0.757986,0.762827,0.828412,0.750484,0.740561,0.792594,0.847773,0.820184,0.74637,0.690223,0.800339,0.740803,0.71999,0.702807,0.748064,
0.582403,0.590017,0.578173,0.579019,0.57225,0.589848,0.596954,0.611675,0.625888,0.646193,0.654146,0.681895,0.688156,0.707614,0.718105,0.747039,0.738579,0.76176,0.763113,0.786125,0.793232,0.81066,0.807953,0.807445,0.789171,0.772758,0.752453,0.735702,0.73401,0.729442,0.718105,0.716751,0.715228,0.717428,0.715905,0.709814,0.709983,0.70643,0.692217,0.686125,0.664975,0.637225,0.604399,0.58308,0.558545,0.53824,0.530964,0.532995,0.527073,0.524873,0.576819,0.629442,0.67868,0.743824,0.810829,0.906091,0.985956,0.999323,1,0.99154,0.987986,0.974788,0.98291,0.9978,0.918782,0.848223,0.719628,0.586971,0.484095,0.484602,0.494924,0.492724,0.498139,0.49577,0.503384,0.516074,0.537225,0.547377,0.561929,0.583587,0.60846,0.622335,0.633503,0.640102,0.642132,0.652115,0.667513,0.674112,0.685956,0.692555,0.701523,0.704399,0.728088,0.731811,0.747208,0.756514,0.784264,0.767851,0.768189,0.747885,0.749069,0.720305,0.718951,0.698816,0.704399,0.687986,0.67242,0.663621,0.651607,0.635702,0.63198,0.622166,0.635871,0.604907,0.60643,0.605415,0.607953,0.609814,0.614382,0.617597,
0.730269,0.776409,0.802428,0.773114,0.783695,0.742238,0.846141,0.783868,0.782654,0.827407,0.779705,0.813877,0.797225,0.838161,0.840763,0.87268,0.822203,0.854293,0.833825,0.822376,0.842498,0.860364,0.872333,0.866609,0.861752,0.877016,0.863487,0.911188,0.942238,0.933565,0.866956,0.905811,0.913617,0.972767,0.906852,0.935993,0.929228,0.890893,0.886383,0.943278,0.917086,0.938248,0.909801,0.898179,0.884475,0.946921,0.923851,0.971032,0.924545,0.941544,0.988899,0.968083,0.97693,0.955594,0.975542,0.978838,0.966349,0.951258,0.935126,1,0.941023,0.968083,0.990633,0.967389,0.962186,0.967736,0.954727,0.966869,0.993062,0.971379,0.921769,0.957502,0.969991,0.910494,0.968257,0.959063,0.924371,0.929748,0.889506,0.915525,0.91327,0.897485,0.879445,0.894016,0.875108,0.932871,0.894883,0.861405,0.895924,0.887077,0.888465,0.870078,0.844579,0.857936,0.862099,0.867823,0.770859,0.810234,0.860364,0.825152,0.802428,0.851171,0.78595,0.792888,0.791153,0.801388,0.840069,0.796704,0.828621,0.801041,0.747615,0.759063,0.756808,0.696271,0.678404,0.719861,0.710841,0.734779,0.750564,0.699393,
0.836688,0.847829,0.85897,0.88239,0.893784,0.890999,0.868971,0.899987,0.90062,0.89543,0.890999,0.928978,0.889859,0.889986,0.88872,0.888593,0.920623,0.893911,0.909102,0.917711,0.930244,0.926193,0.90695,0.909989,0.931257,0.96278,0.941258,0.944423,0.949614,0.958856,0.962274,0.952779,0.921509,0.979111,0.951006,0.942651,0.959362,0.912014,0.918344,0.938093,0.94417,0.902519,0.911508,0.92594,0.955184,0.943284,0.951513,0.978478,0.966958,0.96911,0.961388,0.965185,0.958602,0.975946,1,0.981896,0.967717,0.956957,0.996962,0.984808,0.948981,0.956703,0.947082,0.972022,0.967084,0.969996,0.987087,0.983162,0.986074,0.948601,0.959362,0.998481,0.963793,0.971642,0.973288,0.940119,0.930751,0.986074,0.944423,0.967717,0.956324,0.905051,0.971642,0.93822,0.922142,0.971009,0.913787,0.940246,0.935182,0.892012,0.949234,0.930498,0.868718,0.892012,0.903785,0.921382,0.921509,0.89505,0.894417,0.907836,0.894923,0.908723,0.861628,0.858337,0.859603,0.867072,0.90771,0.88201,0.87606,0.832764,0.847955,0.856058,0.804532,0.804026,0.814913,0.822509,0.815166,0.832004,0.872136,0.85897,
0.806674,0.82005,0.833012,0.841009,0.84032,0.856315,0.810673,0.853696,0.859211,0.866657,0.885411,0.888031,0.915058,0.855212,0.876034,0.883894,0.882515,0.909818,0.863072,0.884032,0.884584,0.8861,0.906233,0.925124,0.892857,0.941258,0.943326,0.949393,0.964837,0.960287,0.90775,0.959322,0.957529,0.975593,0.923607,0.947187,0.90513,0.931605,0.940568,0.960425,0.942223,0.949945,0.946911,0.960287,0.934639,0.9738,0.939603,0.969664,0.960425,0.929675,0.94305,0.952289,0.978902,0.975041,0.966768,0.977937,0.957115,0.942774,0.987865,0.970353,0.954909,0.967595,1,0.973525,0.979316,0.958356,0.976144,0.981384,0.933811,0.961942,0.956564,0.964837,0.965527,0.965665,0.93588,0.937948,0.952151,0.928709,0.951324,0.954357,0.943188,0.940568,0.941258,0.930088,0.93064,0.931605,0.897546,0.899614,0.951186,0.928571,0.899476,0.861969,0.888169,0.893409,0.852041,0.887617,0.846387,0.86845,0.869002,0.844457,0.864451,0.874793,0.844595,0.830805,0.83508,0.846939,0.855074,0.856315,0.857419,0.836459,0.800193,0.814948,0.812466,0.784887,0.771787,0.786542,0.774269,0.735797,0.803916,0.793574,
